endpoint,category,representation,split,model,method_a,method_b,kendall_mean,kendall_std,spearman_mean,spearman_std,jaccard_mean,jaccard_std,top_k,is_tox
CYP3A4-Sub,metabolism,ecfp,scaffold,hgb,shap,lime,0.0352412489946939,0.0189316903131655,0.0440552122838735,0.0235801396416454,0.0345373237014103,0.044756725647437,10,False
CYP3A4-Sub,metabolism,ecfp,scaffold,mlp,ig,lime,0.0283543827527542,0.0145397317504329,0.0423676467523728,0.0216758515027114,0.0053606237816764,0.0190183394747445,10,False
CYP3A4-Sub,metabolism,ecfp,random,rf,shap,lime,0.0192518803157547,0.0176979468196912,0.0284026426602808,0.0260395464531046,0.1579182842727734,0.0794249260812152,10,False
CYP3A4-Sub,metabolism,ecfp,random,hgb,shap,lime,0.037929982694484,0.019970680871324,0.0474930615571147,0.0248836793409018,0.0474830868019722,0.0483882791450929,10,False
CYP3A4-Sub,metabolism,ecfp,random,mlp,ig,lime,0.0264674845126272,0.0152460243141288,0.0396613764073566,0.0227296226663469,0.0153193441119137,0.0323129505805385,10,False
HalfLife,excretion,ecfp,scaffold,rf,shap,lime,0.0089028277835144,0.016921985790681,0.0126543784595135,0.0239840344219355,0.0375515995872033,0.0587877689484842,10,False
HalfLife,excretion,ecfp,scaffold,mlp,ig,lime,0.0361780174064864,0.0186935874928604,0.0541435226621677,0.0278785902047242,0.0080896686159844,0.0240191622245552,10,False
HalfLife,excretion,ecfp,random,rf,shap,lime,0.0137287736225792,0.0205575695414158,0.0194406643257614,0.0291204877726471,0.0556974544203646,0.0681369910041541,10,False
HalfLife,excretion,ecfp,random,hgb,shap,lime,0.0263806309404294,0.0171034771354403,0.0329448152070091,0.0213245090413909,0.0396686159844054,0.0412973670959696,10,False
HalfLife,excretion,ecfp,random,mlp,ig,lime,0.0368203107694543,0.0167245485742904,0.0550383095893305,0.024932368725513,0.0080896686159844,0.0240191622245552,10,False
CL-Hepa,excretion,ecfp,scaffold,rf,shap,lime,0.0074228212328687,0.0164782946949948,0.0110446614973601,0.0243656267684595,0.0724515537209035,0.0336674784075677,10,False
CL-Hepa,excretion,ecfp,scaffold,hgb,shap,lime,0.0272558140412472,0.0172615742834341,0.0353209502595281,0.0222528201925171,0.0660460382983602,0.0590786366229279,10,False
CL-Hepa,excretion,ecfp,scaffold,mlp,ig,lime,0.0358796581697866,0.0150797363367713,0.0537097281365882,0.0225669002802838,0.0199977066850131,0.051812977203818,10,False
CL-Hepa,excretion,ecfp,random,rf,shap,lime,0.0158821504180164,0.0171551871742203,0.0234644632186027,0.0253618936445132,0.1461744639376218,0.0802438163798248,10,False
CL-Hepa,excretion,ecfp,random,hgb,shap,lime,0.027122930293879,0.0182906132762557,0.0350133973145456,0.0235796162935433,0.0587432633872262,0.0511277346584438,10,False
CL-Hepa,excretion,ecfp,random,mlp,ig,lime,0.0348590998920908,0.0163172852782874,0.0521507744961865,0.0244022135117279,0.0228729503497305,0.0539094399583173,10,False
