endpoint,category,task,representation,split,model,method,n_explained,faith_mean,faith_lo,faith_hi,null_faith_mean,faith_vs_null,beats_null_p,beats_null,stab_mean,stab_lo,stab_hi,stab_worst,sanity_sim,sanity_passed,primary_perf,perf_metric
AMES,toxicity,classification,descriptors,random,mlp,random,60,0.0660797350936465,0.0373848984597457,0.0994553505298164,0.0660797350936465,0.0,,False,1.4702488831020524,1.4393014019259265,1.502348272972814,1.546492143708964,1.0,False,0.8937499520289821,AUROC
LD50,toxicity,regression,descriptors,scaffold,rf,shap,60,0.6896684675634234,0.517393082538987,0.8888841564330913,0.1725215575684936,0.5171469099949297,0.0,True,0.2598452326021234,0.1804685242721243,0.3588762801379286,0.6632562797515125,0.6783224633093652,False,0.5282264338596466,Spearman
LD50,toxicity,regression,descriptors,scaffold,rf,lime,60,0.5663377142004038,0.3952119440773268,0.7526288598598299,0.1725215575684936,0.3938161566319101,0.0,True,0.0642425353115424,0.0475446857808386,0.0831943052339578,0.1609112689624208,0.0553850932698224,True,0.5282264338596466,Spearman
LD50,toxicity,regression,descriptors,scaffold,rf,random,60,0.1725215575684936,0.1210031544638413,0.2344428892423034,0.1725215575684936,5.551115123125783e-17,,False,1.485047020044652,1.4484621487763014,1.5352810742008034,1.642172378091815,1.0,False,0.5282264338596466,Spearman
LD50,toxicity,regression,descriptors,scaffold,hgb,shap,60,0.8846517118361559,0.6877933131944841,1.072420416640495,0.3115792805843875,0.5730724312517683,0.0,True,0.5114810914482896,0.3907108015922655,0.6597698703189316,0.9946094410474232,0.7272211953535807,False,0.5288543590857216,Spearman
LD50,toxicity,regression,descriptors,scaffold,hgb,lime,60,0.4146138136404438,0.3289016761163053,0.5222616434547891,0.3115792805843875,0.1030345330560563,0.0275,True,0.0753055505402654,0.0577190239596414,0.0963338926645951,0.1426539408358387,0.0497244692161827,True,0.5288543590857216,Spearman
LD50,toxicity,regression,descriptors,scaffold,hgb,random,60,0.3115792805843875,0.2502651286647309,0.3747580769114916,0.3115792805843875,0.0,,False,1.4765098718793912,1.429253809638422,1.5193241084000677,1.63987458796135,1.0,False,0.5288543590857216,Spearman
LD50,toxicity,regression,descriptors,scaffold,mlp,ig,60,1.4957676919798055,1.297729320889339,1.6923090916654715,0.3603942895463357,1.1353734024334698,0.0,True,0.0858872753719457,0.0703700105821647,0.101919039910224,0.1322686458509545,0.5450953392608912,False,0.4615033521608673,Spearman
LD50,toxicity,regression,descriptors,scaffold,mlp,lime,60,0.5312476700934996,0.4199883021706289,0.6509097970108269,0.3603942895463357,0.1708533805471639,0.0,True,0.0340180394869621,0.0237752978353315,0.0453424926036468,0.0851421024344791,0.0525729450966207,True,0.4615033521608673,Spearman
LD50,toxicity,regression,descriptors,scaffold,mlp,random,60,0.3603942895463357,0.3077921085399834,0.4204165333748743,0.3603942895463357,0.0,,False,1.4870233987504289,1.453211017348121,1.5234758533947257,1.6203643010139737,1.0,False,0.4615033521608673,Spearman
LD50,toxicity,regression,descriptors,random,rf,shap,60,0.7439835322830558,0.547082674613594,0.926465712693196,0.2376907726259266,0.5062927596571292,0.0,True,0.3232522533276714,0.1644335891320063,0.5543840565331117,1.605040758461126,0.6745241684169794,False,0.7366228056583861,Spearman
LD50,toxicity,regression,descriptors,random,rf,lime,60,0.5953793443366564,0.4346300516808088,0.7630446473160034,0.2376907726259266,0.3576885717107297,0.0,True,0.0719510412749271,0.0524379270350712,0.0942342208514754,0.1493272265237669,0.0461764500940292,True,0.7366228056583861,Spearman
LD50,toxicity,regression,descriptors,random,rf,random,60,0.2376907726259263,0.1706327091406542,0.3150026727399012,0.2376907726259266,-2.7755575615628914e-16,,False,1.4842677407320608,1.458062136077542,1.514270773671318,1.6153570764250875,1.0,False,0.7366228056583861,Spearman
LD50,toxicity,regression,descriptors,random,hgb,shap,60,0.7993723381810476,0.6221756753605849,0.9835381910607184,0.1896438752216569,0.6097284629593906,0.0,True,0.5438242881746799,0.41976194365628,0.7021334433067103,1.1536743548840271,0.6879183416380664,False,0.7655161526557768,Spearman
