endpoint,model,primary,faith,null,faithful,consensus,stability
hERG,mlp,ig,0.011693179607391357,3.933906555175781e-06,1,0.16204769997622595,0.07526877137050249
hERG,mlp,ig,0.020098249117533367,0.0009355346361796061,1,0.3215706643600523,0.10966644963727033
hERG,mlp,ig,0.26278523604075116,0.0,1,0.3152525184748713,0.07228927796237854
hERG,mlp,ig,0.00432815154393514,0.0,1,0.23803427837219224,0.08754475411164703
hERG,mlp,ig,0.2738082806269328,0.022526144981384277,1,0.19555187096991095,0.11695109749991146
hERG,mlp,ig,0.004589279492696126,1.0291735331217447e-05,1,0.1537108174966192,0.0781958178270971
hERG,mlp,ig,-0.05629434188206991,0.04683566093444824,0,0.3606886727111594,0.09746837020515456
hERG,mlp,ig,0.3238212664922078,0.07623024781545003,1,0.2632194618699758,0.03584870141561557
hERG,mlp,ig,0.0030849575996398926,5.0067901611328125e-05,1,0.11810634316844404,0.10774294363924629
hERG,mlp,ig,0.003130237261454264,7.273753484090169e-05,1,0.2898871505629364,0.12018722074148146
hERG,mlp,ig,0.006795426209767659,7.947285970052083e-08,1,0.29624405447659785,0.05664036522642455
hERG,mlp,ig,0.9736268122990926,0.0002316435178120931,1,0.23440166446813307,0.08739311978784242
hERG,mlp,ig,0.7508727113405863,3.997484842936198e-05,1,0.056045371969512835,0.08426476670272214
hERG,mlp,ig,0.027671754360198975,7.947285970052084e-07,1,0.16003013786751172,0.09455127066639375
hERG,mlp,ig,0.04924494028091431,3.9736429850260414e-08,1,0.25184243927423666,0.09147225135548541
hERG,mlp,ig,0.014879624048868815,4.3710072835286457e-07,1,0.30541913685507804,0.10000354866599868
hERG,mlp,ig,0.04906666278839111,-0.0014112790425618489,1,0.1460209785618091,0.09365907101248137
hERG,mlp,ig,0.19411567846934,5.245208740234375e-06,1,0.30409138075819225,0.038899484002392806
hERG,mlp,ig,0.04934197664260864,0.0009160240491231283,1,0.21487450989601892,0.10544174262919588
hERG,mlp,ig,0.0014277100563049316,4.331270853678386e-06,1,0.21732262425060048,0.09902999989849887
hERG,mlp,ig,0.0015872716903686523,-0.00044029951095581055,1,0.2686572253280404,0.1162761619388114
hERG,mlp,ig,0.014783581097920736,7.947285970052083e-08,1,0.18668206035050366,0.08007499238885153
hERG,mlp,ig,0.0067729949951171875,7.033348083496094e-06,1,0.16423337552600095,0.08549674493589618
hERG,mlp,ig,0.009300132592519125,2.384185791015625e-07,1,0.11370563049514637,0.1087895308709982
hERG,mlp,ig,0.5332681139310201,0.3330414295196533,1,0.16787421067070946,0.09178900712580257
hERG,mlp,ig,0.0015068252881368,-3.9736429850260414e-08,1,0.14822362025234637,0.0707063796110792
hERG,mlp,ig,0.013206561406453451,2.173582712809245e-05,1,0.1107189712135355,0.15569933378611547
hERG,mlp,ig,0.1665597359339396,9.099642435709635e-06,1,0.3004428408953212,0.11542334211923808
hERG,mlp,ig,0.23362871011098227,-0.0009174148241678873,1,0.29090390252515935,0.09293301223785103
hERG,mlp,ig,-0.0020490090052286782,0.013036827246348063,0,0.1740247223632593,0.12202795660419638
hERG,mlp,ig,-0.17361998558044434,-0.1478948394457499,0,0.20106688256095195,0.11467163891185006
hERG,mlp,ig,0.43907487392425537,0.010668635368347168,1,0.2947972472040976,0.10376869948125714
hERG,mlp,ig,0.006737510363260905,2.8212865193684895e-05,1,0.23027201757419027,0.1028182631772339
hERG,mlp,ig,0.08487751086552937,0.4056790868441264,0,0.20025532866256693,0.10452795262297726
hERG,mlp,ig,0.002289454142252604,8.742014567057291e-07,1,0.3076893270052154,0.10481622343496846
hERG,mlp,ig,0.7514046231905619,4.3710072835286457e-07,1,0.3495107781884171,0.05015020484872624
hERG,mlp,ig,0.7867621779441833,-0.02223805586496989,1,0.24862805475970823,0.10571691115958139
hERG,mlp,ig,0.7845081488291422,0.2464911937713623,1,0.08227347856681293,0.061384194062640444
