mol_idx,bit,IG_auc,IG_faith,grad_auc,grad_faith,grad*input_auc,grad*input_faith,smoothgrad_auc,smoothgrad_faith,occlusion_auc,occlusion_faith,random_auc,random_faith
11,713,0.6,0.05830216780304909,1.0,0.07480648385050397,0.8,0.06373934424482286,1.0,0.07480648385050397,0.8,-0.046045196863512196,0.8,0.0026709611993283033
11,416,1.0,0.019440980938573677,0.8,0.021524831351901714,1.0,0.020056698160866897,0.8,0.021524831351901714,0.19999999999999996,-0.05183535379668077,0.8,-0.013880271464586258
12,80,0.625,-0.015961170196533203,0.4375,-0.015961170196533203,0.5,-0.015961170196533203,0.4375,-0.015961170196533203,0.5,-0.04171260197957357,0.125,0.051922380924224854
12,33,0.75,-0.022205909093221027,0.875,-0.013644238313039144,0.875,-0.013644238313039144,0.875,-0.013644238313039144,0.875,-0.013644238313039144,0.375,0.03548886378606161
12,807,0.7777777777777778,0.17735611399014792,1.0,0.45911045869191486,0.7777777777777778,0.22911296288172403,0.7777777777777778,0.3988795578479767,0.7777777777777778,0.5891467047234377,1.0,0.3106675942738851
12,650,0.11111111111111116,0.15905380249023438,0.5555555555555556,0.7027557604014874,0.2222222222222222,0.3635432670513789,0.5555555555555556,0.7027557604014874,0.7777777777777778,0.6970538161695004,0.0,-0.06400607029596965
12,893,0.0,0.40686169887582463,0.4444444444444444,0.47391787396433455,0.11111111111111116,0.39307541710635024,0.4444444444444444,0.33706633001565933,0.6666666666666667,0.6369169184326893,0.8888888888888888,0.38305969536304474
12,1,0.8888888888888888,0.1403686097667863,0.6666666666666667,0.11244861440112193,0.5555555555555556,0.13644031590471664,0.5555555555555556,0.14641281434645256,1.0,0.15863205345037082,0.5555555555555556,0.07003109529614449
12,695,0.625,0.2996013027926286,0.875,0.3790120364477237,0.75,0.39236156828701496,0.6875,0.27892182022333145,0.8125,0.3858043880512317,0.375,0.25175323088963825
12,147,0.11111111111111116,0.29635222007830936,0.888888888888889,0.23431605597337088,0.888888888888889,0.24410130083560944,0.7777777777777778,0.23834852874279022,0.7777777777777778,0.44259330319861573,0.33333333333333337,0.2814255605141322
12,694,0.4444444444444444,0.10396017630894978,0.6666666666666667,0.11128069957097371,0.6666666666666667,0.07095452149709065,0.6666666666666667,0.11128069957097371,1.0,0.23746174573898315,0.8888888888888888,0.00031197071075439453
12,342,0.11111111111111116,0.23496370948851109,0.6666666666666667,0.1901010995109876,0.7777777777777778,0.18956745912631354,0.5555555555555556,0.1901010995109876,0.0,0.322290132753551,0.11111111111111116,0.052598332365353904
