endpoint,category,representation,split,model,method_a,method_b,kendall_mean,kendall_std,spearman_mean,spearman_std,jaccard_mean,jaccard_std,top_k
BBB,distribution,descriptors,random,mlp,ig,lime,0.08310249339172245,0.04612406364891983,0.12423372657766316,0.06873013633563432,0.06135764247219356,0.04897253070537106,10
BBB,distribution,descriptors,random,mlp,ig,random,0.002324803954905487,0.044281427525527044,0.003579842652232839,0.06637408415534765,0.02680311890838206,0.03512492612532629,10
BBB,distribution,descriptors,random,mlp,lime,random,-0.006801501962792284,0.0434688639534624,-0.010477783728005684,0.06532106451668648,0.02037037037037037,0.029559493012819644,10
VDss,distribution,descriptors,scaffold,rf,shap,lime,0.030058087482776337,0.07601017805001131,0.043878633558401506,0.11092197564709425,0.0889089553950235,0.0475266470227965,10
VDss,distribution,descriptors,scaffold,rf,shap,random,0.006051302851419496,0.050856304589017354,0.009040580942165614,0.07450546369875098,0.022239422084623324,0.032251145480296894,10
VDss,distribution,descriptors,scaffold,rf,lime,random,-0.0019258121408659054,0.04082578688622507,-0.0030040234501613606,0.061106962218440655,0.036859305125559,0.0399419580538772,10
VDss,distribution,descriptors,scaffold,hgb,shap,lime,0.04789176623216085,0.05199626022616441,0.07071152445690049,0.0761791273047349,0.11479761495241371,0.06439400362285504,10
VDss,distribution,descriptors,scaffold,hgb,shap,random,-0.0037747640389723456,0.04513699312673878,-0.006103679996310185,0.06551240691472862,0.023214080954019032,0.03399158704847078,10
VDss,distribution,descriptors,scaffold,hgb,lime,random,0.00031433122830972345,0.04764265647850171,0.00030377479326872505,0.07199540218257552,0.0239766081871345,0.0318109304537056,10
VDss,distribution,descriptors,scaffold,mlp,ig,lime,0.12332420187272163,0.08993541675016492,0.18344173189983498,0.13022816490171496,0.07349214539617015,0.06785884393556212,10
VDss,distribution,descriptors,scaffold,mlp,ig,random,0.007896353216290435,0.04034574402010829,0.012617125311747076,0.06001709389850303,0.03081642013530558,0.04236231213070817,10
VDss,distribution,descriptors,scaffold,mlp,lime,random,0.00023752631279512967,0.043658686126992245,0.00034243170156162035,0.06502351838135141,0.02496846691893131,0.03410620629369653,10
VDss,distribution,descriptors,random,rf,shap,lime,0.022029789656421113,0.06066756726105046,0.03193133499892275,0.08875321417098678,0.07635018919848639,0.03452170924084127,10
VDss,distribution,descriptors,random,rf,shap,random,-0.004684307011544005,0.039402263810044205,-0.006519335967603773,0.05821768018829965,0.022222222222222216,0.03163304873987958,10
VDss,distribution,descriptors,random,rf,lime,random,-0.002099334357398875,0.04662269383780732,-0.0025171225637339863,0.06960858907589763,0.021247563352826508,0.029722461531253398,10
