ig_auc,occ_auc,random_auc
0.65,0.35,0.35
0.6428571428571428,0.6428571428571428,0.4285714285714286
0.5,0.7142857142857143,0.28571428571428575
0.3333333333333333,0.7222222222222222,0.3333333333333333
0.39999999999999997,0.7333333333333333,0.9
0.1428571428571429,0.7142857142857143,0.75
0.5714285714285714,1.0,0.39285714285714285
0.33333333333333337,0.6666666666666667,0.7500000000000001
0.24,1.0,0.55
0.0,0.75,0.5625
0.6799999999999999,0.56,0.52
0.25,0.875,0.625
0.6666666666666667,1.0,0.0
0.25,0.25,0.75
0.33333333333333337,0.6666666666666667,0.0
0.0,0.5,1.0
0.625,0.75,0.125
0.875,0.875,0.0
0.0,0.4285714285714286,0.0
1.0,1.0,0.2222222222222222
0.4444444444444444,0.4444444444444444,0.11111111111111116
0.4285714285714286,0.7619047619047619,0.2857142857142857
0.625,0.75,1.0
0.0,0.0,0.875
0.6,0.4,0.6
0.8333333333333334,0.8333333333333334,0.33333333333333337
0.16666666666666663,1.0,0.16666666666666663
1.0,0.9999999999999999,0.5
0.8181818181818182,0.6666666666666667,0.6212121212121213
0.0,0.875,0.0625
