mol_idx,bit,n_atoms,n_gt,frac_gt,ig_auc,occ_auc,rand_auc,ig_faith,occ_faith,rand_faith
9,798,5,1,0.2,1.0,1.0,0.25,0.03588489706938466,-0.10959420974055926,-0.054868306343754135
10,33,10,2,0.2,0.375,0.75,0.1875,0.1963332345088323,0.1930105189482371,0.004738350709279378
10,807,10,3,0.3,0.6666666666666666,0.9047619047619047,0.19047619047619047,0.03485095500946045,0.05748631556828817,0.0022844672203063965
10,650,10,2,0.2,0.0,1.0,0.125,0.31502793977657956,0.05649187167485555,0.0013381242752075195
10,893,10,2,0.2,0.125,1.0,0.875,0.5079596671081769,0.11701051394144694,0.023647785186767578
10,881,10,1,0.1,0.33333333333333337,0.7777777777777778,0.8888888888888888,-0.07715894778569539,0.668379273939839,0.4261856327454249
10,128,10,2,0.2,0.625,0.625,0.1875,0.5587091785855591,0.5587091785855591,0.013724048932393393
10,345,10,2,0.2,0.625,0.625,0.5625,0.06627697947260458,0.06838410178412839,-0.02093424399693807
10,406,10,2,0.2,0.375,0.0,0.375,0.2117405681880579,0.22125027303991374,0.21846560342237353
11,80,4,1,0.25,1.0,1.0,1.0,0.1717183068394661,-0.244849294424057,0.1717183068394661
11,728,4,1,0.25,0.33333333333333337,1.0,0.33333333333333337,0.5681775072589517,0.5723595479503274,0.5681775072589517
11,251,4,1,0.25,0.0,0.6666666666666667,0.6666666666666667,0.08582389692310244,-0.27185940742492676,-0.27185940742492676
11,674,4,1,0.25,0.6666666666666667,1.0,0.6666666666666667,-0.7652606815099716,-0.7652606815099716,-0.7652606815099716
11,360,4,1,0.25,0.33333333333333337,0.6666666666666667,0.0,-0.7250379621982574,-0.7250379621982574,0.1630719229578972
11,790,4,1,0.25,0.33333333333333337,0.6666666666666667,0.6666666666666667,-0.7373635172843933,-0.7373635172843933,-0.7373635172843933
12,80,8,2,0.25,0.6666666666666667,1.0,0.3333333333333333,-0.044778525829315186,0.26125091314315796,0.03972345590591431
12,33,8,2,0.25,0.33333333333333337,1.0,0.8333333333333334,0.08342387278874715,0.15374879042307535,0.07989718516667683
12,807,8,2,0.25,1.0,0.6666666666666667,0.5833333333333333,0.520313541094462,0.3107280333836873,0.18072015047073364
12,650,8,2,0.25,0.33333333333333337,1.0,0.6666666666666667,0.6562990422050158,0.4409279227256775,0.08892323573430379
12,893,8,2,0.25,0.0,1.0,0.33333333333333337,0.05246549844741821,0.5394042730331421,0.08135926723480225
12,294,8,2,0.25,0.33333333333333337,0.6666666666666667,0.4166666666666667,0.1790126065413157,-0.20476325352986655,0.07623977462450664
12,540,8,2,0.25,1.0,0.6666666666666667,0.5833333333333333,0.3969479550917943,0.46189054986461997,0.44382575899362564
12,715,8,2,0.25,0.6666666666666667,1.0,0.8333333333333334,-0.007188272972901662,0.05209761018947271,-0.002619041750828425
13,80,7,4,0.5714285714285714,1.0,0.6666666666666667,0.5,-0.0073099931081136065,-0.03324814637502035,0.05265869696935018
13,659,7,2,0.2857142857142857,0.0,1.0,0.3,0.20604509115219116,0.3520466387271881,0.20604509115219116
13,85,7,2,0.2857142857142857,0.0,0.8,0.8,0.31145693858464557,0.46686997016270954,0.02875727415084839
13,116,7,1,0.14285714285714285,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.15438033392031988,0.1543803537885348,0.16012594600518545
13,432,7,2,0.2857142857142857,0.6,0.6,0.4,0.15867774685223898,0.15867774685223898,0.15867772698402405
13,953,7,1,0.14285714285714285,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.03186534562458595,0.03186534562458595,0.029027325722078483
14,33,10,1,0.1,0.33333333333333337,0.6666666666666667,0.8888888888888888,0.1881581631799539,-0.06166441241900126,-0.0017990370591481526
14,807,10,6,0.6,0.8333333333333334,0.45833333333333337,0.3333333333333333,0.05655582745869955,0.01304940382639567,0.021149317423502605
14,650,10,2,0.2,0.125,0.6875,0.25,0.0005694230397542318,0.007132053375244141,0.0005731980005900065
14,893,10,2,0.2,0.3125,0.125,0.5625,0.3940092980240782,0.3218412746985753,0.04671637217203776
14,659,10,1,0.1,0.4444444444444444,1.0,1.0,0.28315399090449017,0.42988651245832443,0.3512417251865069
14,389,10,2,0.2,0.25,0.4375,0.625,0.5020279006954903,0.39841028054555255,0.326466162999471
